pop1,pop2,mean_pairwise_IBD_length,pop1_size,pop2_size,IBD_len_SE,lat,long,continent,country
Cossack,Ukranian-East,13.951,4,8,1.264,50.74,34.39,Europe,Ukraine
English-Southeast,Gagauz,4.084,5,9,0.573,45.54,28.38,Europe,Moldova
Eritrean,Kabardian,0.348,3,13,0.173,43.45,43.37,Europe,Russia
Netherlands-AJ,Moroccan,2.208,4,10,0.398,33.53,-7.58,Africa,Morocco
Jew-Iberian,Corsican,2.113,3,16,0.356,42.04,9.01,Europe,France
English-Southwest,Somali,0.14,5,13,0.08,5.6,48.3,Africa,Kenya
Algerian,Gujarati,0.524,4,17,0.134,23.2,72.7,Asia,India
Brahmin,Adygei,1.505,3,31,0.208,44.39,39.31,Europe,Russia
Libyan,Yemenite-Desert,3.268,5,27,0.291,16.48,50.03,Asia,Yemen
Cossack,Spanish-Central,3.036,4,21,0.266,40.36,-3.74,Europe,Spain
Basque-Spain,Kazakh-West,1.157,6,13,0.203,51.8,67.16,Asia,Kazakhstan
English-Southeast,Adygei,2.881,5,31,0.246,44.39,39.31,Europe,Russia
Kyrgyz-South,Adygei,1.203,6,31,0.139,44.39,39.31,Europe,Russia
Brahmin,Gagauz,0.722,3,9,0.325,45.54,28.38,Europe,Moldova
Afar,Udmurt,0.244,5,14,0.097,56.43,52.66,Europe,Russia
French-Southeast,Germany-AJ,3.161,5,26,0.3,52.52,13.4,Europe,Germany
Libyan,Lebanese-Christian,1.121,5,9,0.259,33.89,35.5,Asia,Lebanon
Scot,Spanish-Valencia,4.977,4,11,0.497,39.02,-0.37,Europe,Spain
Jew-Cochin,Somali,0.246,5,13,0.099,5.6,48.3,Africa,Kenya
Jew-Iberian,Libyan,1.424,3,5,0.384,32.88,13.19,Africa,Libya
Austria-AJ,Jew-Turkish,16.541,3,8,1.674,41.02,28.95,Europe,Turkey
French-Southwest,Gujarati,0.901,6,17,0.164,23.2,72.7,Asia,India
Eritrean,Shaigi,0.847,3,3,0.623,15.6,32.5,Africa,Sudan
Sicilian-East,Udmurt,1.507,6,14,0.242,56.43,52.66,Europe,Russia
Algerian,French-Southwest,0.425,4,6,0.243,43.5,-0.72,Europe,France
Kyrgyz-South,Gagauz,1.461,6,9,0.299,45.54,28.38,Europe,Moldova
Kryashen,Spanish-Valencia,2.628,3,11,0.568,39.02,-0.37,Europe,Spain
Jew-Iraqi,Moroccan,1.032,6,10,0.212,33.53,-7.58,Africa,Morocco
Shaigi,Jew-Uzbek,1.117,3,12,0.307,41.31,69.29,Asia,Uzbekistan
Austria-AJ,BedouinA,1.178,3,23,0.251,31,35,Asia,Israel
Spanish-Northwest,Lithuania-AJ,2.36,5,27,0.229,54.68,25.32,Europe,Lithuania
French-Southeast,Punjabi,1.012,5,9,0.243,29.89,74.48,Asia,Pakistan
Cossack,Turkmen,1.831,4,8,0.387,42.49,59.41,Asia,Uzbekistan
Spanish-Northwest,Bulgarian,2.565,5,9,0.397,42.16,24.74,Europe,Bulgaria
Mansi,Lithuanian,6.446,5,13,0.702,55,23.93,Europe,Lithuania
Netherlands-AJ,Romanian,3.06,4,10,0.481,45.78,22.95,Europe,Romania
English-Southwest,Czechia-AJ,3.079,5,13,0.396,50.08,14.47,Europe,Czechia
Eritrean,Belarusian,0.582,3,14,0.2,53.64,27.47,Europe,Belarus
Algerian,Pashtun,0.432,4,17,0.154,33.49,70.5,Asia,Pakistan
Jew-Iberian,Greek-South,1.959,3,16,0.389,37.9,23.7,Europe,Greece
English-Southeast,Bengali,1.553,5,9,0.326,23.51,89.9,Asia,Bangladesh
Brahmin,Tajik,1.48,3,32,0.216,38.41,69.6,Asia,Tajikistan
Cossack,Hungarian,9.207,4,21,0.578,47.49,19.07,Europe,Hungary
Basque-Spain,Lithuanian,4.879,6,13,0.485,55,23.93,Europe,Lithuania
Brahmin,Bengali,2.507,3,9,0.46,23.51,89.9,Asia,Bangladesh
French-Southeast,Tatar-Volga,3.284,5,26,0.314,54.19,52.71,Europe,Russia
English-Southeast,Tajik,2.487,5,32,0.209,38.41,69.6,Asia,Tajikistan
Libyan,Lithuania-AJ,1.931,5,27,0.197,54.68,25.32,Europe,Lithuania
Afar,Belarus-AJ,0.719,5,14,0.171,53.9,27.57,Europe,Belarus
Kyrgyz-South,Tajik,2.089,6,32,0.199,38.41,69.6,Asia,Tajikistan
Libyan,Bulgarian,2.083,5,9,0.334,42.16,24.74,Europe,Bulgaria
Jew-Cochin,Czechia-AJ,2.43,5,13,0.409,50.08,14.47,Europe,Czechia
Jew-Iberian,Basque-Spain,4.146,3,6,0.721,43.13,-2.08,Europe,Spain
Eritrean,Cossack,0.509,3,4,0.509,46.4,37.03,Europe,Ukraine
Austria-AJ,Syrian,1.601,3,8,0.528,35.13,36.87,Asia,Syria
Scot,Moldavian,3.689,4,11,0.435,46.51,29.66,Europe,Moldova
Algerian,Jew-Moroccan,1.605,4,6,0.39,34.02,-6.84,Africa,Morocco
Kryashen,Moldavian,4.257,3,11,0.72,46.51,29.66,Europe,Moldova
French-Southwest,Pashtun,0.99,6,17,0.166,33.49,70.5,Asia,Pakistan
Sicilian-East,Belarus-AJ,2.621,6,14,0.305,53.9,27.57,Europe,Belarus
Kyrgyz-South,Bengali,0.671,6,9,0.182,23.51,89.9,Asia,Bangladesh
Shaigi,Greek-North,1.655,3,13,0.361,40.64,22.94,Europe,Greece
Jew-Iraqi,Romanian,1.202,6,10,0.241,45.78,22.95,Europe,Romania
Austria-AJ,Nogai,1.379,3,25,0.253,44.82,43.22,Europe,Russia
French-Southwest,Jew-Moroccan,2.622,6,6,0.433,34.02,-6.84,Africa,Morocco
Spanish-Northwest,Roman-Iberia,2.649,5,28,0.232,40.67,-3.14,Europe,Spain
English-Southwest,Lezgin,2.341,5,13,0.317,42.05,48.1,Europe,Russia
Cossack,Turk-West,2.507,4,8,0.582,37.92,27.75,Asia,Turkey
French-Southeast,Lebanese-Christian,1.127,5,9,0.278,33.89,35.5,Asia,Lebanon
Jew-Iberian,Estonian,2.006,3,16,0.343,58.45,25.31,Europe,Estonia
Mansi,Balkar,2.104,5,13,0.312,43.5,43.61,Europe,Russia
Eritrean,Basque-France,0.504,3,14,0.202,43,0,Europe,France
Netherlands-AJ,Saudi,1.402,4,10,0.253,19.75,43.35,Asia,Saudi Arabia
Spanish-Northwest,Albanian,3.273,5,9,0.466,41.32,19.82,Europe,Albania
Brahmin,Palestinian,0.863,3,33,0.152,32.13,35.04,Asia,Israel
Algerian,Chuvash,1.057,4,18,0.207,55.33,48.74,Europe,Russia
English-Southeast,French-North,6.897,5,9,0.67,50.18,2.37,Europe,France
English-Southeast,Palestinian,1.648,5,33,0.155,32.13,35.04,Asia,Israel
Basque-Spain,Balkar,2.323,6,13,0.271,43.5,43.61,Europe,Russia
Cossack,Mozabite,1.135,4,21,0.219,32,3,Africa,Algeria
Brahmin,French-North,1.758,3,9,0.496,50.18,2.37,Europe,France
French-Southeast,Yemenite-Desert,0.855,5,27,0.128,16.48,50.03,Asia,Yemen
Libyan,Roman-Iberia,0.876,5,28,0.137,40.67,-3.14,Europe,Spain
Afar,Sindhi,0.21,5,14,0.11,25.49,69,Asia,Pakistan
Kyrgyz-South,Palestinian,0.601,6,33,0.092,32.13,35.04,Asia,Israel
Eritrean,Scot,0.853,3,4,0.446,56.04,-3.94,Europe,United Kingdom
Algerian,Jew-French,2.147,4,7,0.456,48.87,2.33,Europe,France
Jew-Cochin,Lezgin,1.117,5,13,0.228,42.05,48.1,Europe,Russia
Jew-Iberian,Kyrgyz-South,0.579,3,6,0.276,38.11,73.86,Asia,Tajikistan
Libyan,Albanian,1.757,5,9,0.34,41.32,19.82,Europe,Albania
Scot,Jew-Azeri,1.423,4,11,0.299,40.88,48.02,Asia,Azerbaijan
Austria-AJ,Jew-Libyan,4.183,3,8,0.882,32.92,13.18,Africa,Libya
Kryashen,Jew-Azeri,1.266,3,11,0.377,40.88,48.02,Asia,Azerbaijan
Sicilian-East,Sindhi,0.974,6,14,0.193,25.49,69,Asia,Pakistan
French-Southwest,Chuvash,2.291,6,18,0.215,55.33,48.74,Europe,Russia
Shaigi,German,1.42,3,13,0.299,51.48,10.37,Europe,Germany
Kyrgyz-South,French-North,1.199,6,9,0.209,50.18,2.37,Europe,France
Jew-Iraqi,Saudi,1.659,6,10,0.258,19.75,43.35,Asia,Saudi Arabia
French-Southwest,Jew-French,2.242,6,7,0.386,48.87,2.33,Europe,France
Austria-AJ,Kyrgyz-North,0.489,3,25,0.135,43.12,81.15,Asia,Kyrgyzstan
Spanish-Northwest,Yemenite-Highlands,0.788,5,29,0.128,14.34,44.68,Asia,Yemen
Cossack,Maltese,2.001,4,8,0.328,35.94,14.38,Europe,Malta
English-Southwest,Kazakh-East,1.223,5,13,0.238,44,87.46,Asia,Kazakhstan
Eritrean,Croat,0.533,3,14,0.19,43.63,16.84,Europe,Croatia
Mansi,Kabardian,2.275,5,13,0.309,43.45,43.37,Europe,Russia
Jew-Iberian,Russian-Arctic,2.312,3,17,0.394,63.43,45.1,Europe,Russia
Netherlands-AJ,Portuguese,3.96,4,10,0.603,39.4,-8.22,Europe,Portugal
French-Southeast,Bulgarian,2.77,5,9,0.398,42.16,24.74,Europe,Bulgaria
Algerian,Ossetian,0.971,4,18,0.203,43.07,44.23,Europe,Russia
Spanish-Northwest,Turk-Northeast,1.239,5,9,0.293,41,39.73,Asia,Turkey
Brahmin,Mordvin,1.809,3,34,0.222,54.49,44.21,Europe,Russia
Afar,Italian-South,0.438,5,15,0.114,41.89,14.49,Europe,Italy
Cossack,Iranian-Central,1.253,4,22,0.186,31.43,51.07,Asia,Iran
English-Southeast,Mordvin,5.057,5,34,0.29,54.49,44.21,Europe,Russia
Brahmin,Ingush,1.391,3,9,0.449,43.52,44.58,Europe,Russia
Algerian,Jew-Ethiopian,0.435,4,7,0.21,9.03,38.73,Africa,Ethiopia
English-Southeast,Ingush,2.974,5,9,0.403,43.52,44.58,Europe,Russia
Libyan,Yemenite-Highlands,3.085,5,29,0.263,14.34,44.68,Asia,Yemen
Basque-Spain,Kabardian,1.574,6,13,0.238,43.45,43.37,Europe,Russia
French-Southeast,Lithuania-AJ,3.195,5,27,0.278,54.68,25.32,Europe,Lithuania
Jew-Cochin,Kazakh-East,1.13,5,13,0.203,44,87.46,Asia,Kazakhstan
