pop1,pop2,mean_pairwise_IBD_length,pop1_size,pop2_size,IBD_len_SE,lat,long,continent,country
Veps,Norwegian,7.781,12,12,0.412,60.32,5.81,Europe,Norway
Baloch,Poland-AJ,1.63,20,57,0.066,52.25,21,Europe,Poland
Karelian,Egyptian,0.609,17,18,0.071,30.69,31.28,Africa,Egypt
Sindhi,Russia-AJ,0.973,14,39,0.075,55.75,37.62,Europe,Russia
Estonian,Russian-Arctic,18.006,16,17,0.434,63.43,45.1,Europe,Russia
Somali,Balkar,0.113,13,13,0.043,43.5,43.61,Europe,Russia
Roman-Iberia,Poland-AJ,2.111,28,57,0.067,52.25,21,Europe,Poland
Pashtun,Nogai,1.159,17,25,0.09,44.82,43.22,Europe,Russia
Tatar-Siberia,Iranian-Central,1.01,21,22,0.08,31.43,51.07,Asia,Iran
Ossetian,Palestinian,1.122,18,33,0.075,32.13,35.04,Asia,Israel
Icelandic,Spanish-Catalonia,5.371,12,57,0.15,41.68,1.66,Europe,Spain
Basque-France,Yemenite-Northwest,0.902,14,26,0.081,15.74,44.45,Asia,Yemen
Belarus-AJ,Gujarati,0.746,14,17,0.095,23.2,72.7,Asia,India
Circassian,Corsican,1.713,12,16,0.159,42.04,9.01,Europe,France
Jew-Italian,Croat,2.627,11,14,0.216,43.63,16.84,Europe,Croatia
Tuscan,Russian-Central,3.229,15,58,0.101,57.19,38.52,Europe,Russia
Greek-North,Mozabite,1.185,13,21,0.104,32,3,Africa,Algeria
Komi,Romania-AJ,3.249,18,23,0.143,44.43,26.1,Europe,Romania
Slovakian,Spanish-Catalonia,4.308,15,57,0.12,41.68,1.66,Europe,Spain
Mozabite,Druze,1.185,21,30,0.075,32.05,35.02,Asia,Israel
Balkar,Pashtun,1.131,13,17,0.111,33.49,70.5,Asia,Pakistan
Ukranian-Central,Yemenite-Northwest,1.091,12,26,0.1,15.74,44.45,Asia,Yemen
Italian-Northwest,Gujarati,1.136,11,17,0.126,23.2,72.7,Asia,India
Iranian-North,Georgian,1.212,12,26,0.106,41.96,42.06,Asia,Turkey
Kabardian,Russian-Central,3.108,13,58,0.111,57.19,38.52,Europe,Russia
Abkhasian,Hungarian,1.894,12,21,0.141,47.49,19.07,Europe,Hungary
Kazakh-East,Sindhi,0.815,13,14,0.108,25.49,69,Asia,Pakistan
Pole,Swede,8.43,19,20,0.259,59.31,18,Europe,Sweden
Norwegian,Sindhi,1.316,12,14,0.146,25.49,69,Asia,Pakistan
Sicilian-West,Baloch,1.133,14,20,0.112,30.5,66.5,Asia,Pakistan
Kazakh-West,Germany-AJ,0.851,13,26,0.082,52.52,13.4,Europe,Germany
Jew-Uzbek,Kabardian,1.41,12,13,0.15,43.45,43.37,Europe,Russia
BedouinA,Poland-AJ,1.524,23,57,0.061,52.25,21,Europe,Poland
Veps,Abkhasian,1.573,12,12,0.19,43.04,40.93,Asia,Abkhazia
Somali,Kabardian,0.263,13,13,0.072,43.45,43.37,Europe,Russia
Baloch,Russian-Central,1.421,20,58,0.06,57.19,38.52,Europe,Russia
Sindhi,Bashkir,1.07,14,56,0.064,54.32,56.12,Europe,Russia
Karelian,Komi,21.127,17,18,0.507,61.87,51.43,Europe,Russia
Estonian,Karelian,21.373,16,17,0.576,60.85,32.14,Europe,Russia
Pashtun,Kyrgyz-North,1.012,17,25,0.077,43.12,81.15,Asia,Kyrgyzstan
Basque-France,Jew-Bulgarian,2.841,14,26,0.164,42.68,23.32,Europe,Bulgaria
Roman-Iberia,Russian-Central,3.113,28,58,0.075,57.19,38.52,Europe,Russia
Tatar-Siberia,Romania-AJ,1.278,21,23,0.087,44.43,26.1,Europe,Romania
Belarus-AJ,Pashtun,1.4,14,17,0.136,33.49,70.5,Asia,Pakistan
Ossetian,Mordvin,2.179,18,34,0.1,54.49,44.21,Europe,Russia
Icelandic,Poland-AJ,3.448,12,57,0.126,52.25,21,Europe,Poland
Circassian,Greek-South,1.541,12,16,0.155,37.9,23.7,Europe,Greece
Jew-Italian,Sicilian-West,1.952,11,14,0.199,38.02,12.52,Europe,Italy
Greek-North,Iranian-Central,1.513,13,22,0.116,31.43,51.07,Asia,Iran
Komi,BedouinA,0.926,18,23,0.086,31,35,Asia,Israel
Czechia-AJ,Romania-AJ,91.565,13,23,1.46,44.43,26.1,Europe,Romania
Balkar,Chuvash,2.455,13,18,0.184,55.33,48.74,Europe,Russia
Ukranian-Central,Jew-Bulgarian,2.981,12,26,0.19,42.68,23.32,Europe,Bulgaria
Mozabite,Adygei,0.809,21,31,0.06,44.39,39.31,Europe,Russia
Slovakian,Poland-AJ,4.564,15,57,0.143,52.25,21,Europe,Poland
Italian-Northwest,Pashtun,1.158,11,17,0.13,33.49,70.5,Asia,Pakistan
Iranian-North,Germany-AJ,1.472,12,26,0.121,52.52,13.4,Europe,Germany
Kazakh-East,Italian-South,0.9,13,15,0.109,41.89,14.49,Europe,Italy
Abkhasian,Mozabite,0.81,12,21,0.102,32,3,Africa,Algeria
Norwegian,Italian-South,2.64,12,15,0.209,41.89,14.49,Europe,Italy
Kazakh-West,Tatar-Volga,2.954,13,26,0.168,54.19,52.71,Europe,Russia
Sicilian-West,Swede,3.079,14,20,0.17,59.31,18,Europe,Sweden
Pole,Brahui,1.454,19,21,0.103,30.5,66.5,Asia,Pakistan
Jew-Uzbek,Belarusian,1.886,12,14,0.192,53.64,27.47,Europe,Belarus
Somali,Belarusian,0.237,13,14,0.058,53.64,27.47,Europe,Belarus
Sindhi,Spanish-Catalonia,1.166,14,57,0.07,41.68,1.66,Europe,Spain
BedouinA,Russian-Central,1.075,23,58,0.047,57.19,38.52,Europe,Russia
Veps,Icelandic,9.331,12,12,0.385,64.13,-21.93,Europe,Iceland
Estonian,Gujarati,1.362,16,17,0.111,23.2,72.7,Asia,India
Karelian,Azeri,1.428,17,18,0.111,40.97,47.86,Europe,Russia
Basque-France,Hungary-AJ,2.772,14,26,0.156,47.5,19.08,Europe,Hungary
Belarus-AJ,Chuvash,2.539,14,18,0.176,55.33,48.74,Europe,Russia
Tatar-Siberia,BedouinA,0.535,21,23,0.056,31,35,Asia,Israel
Pashtun,Yemenite-Northwest,0.571,17,26,0.061,15.74,44.45,Asia,Yemen
Ossetian,Ukraine-AJ,1.794,18,38,0.09,50.43,30.52,Europe,Ukraine
Jew-Italian,Udmurt,2.106,11,14,0.204,56.43,52.66,Europe,Russia
Circassian,Estonian,3.34,12,16,0.22,58.45,25.31,Europe,Estonia
Greek-North,Romania-AJ,2.85,13,23,0.171,44.43,26.1,Europe,Romania
Icelandic,Russian-Central,6.328,12,58,0.17,57.19,38.52,Europe,Russia
Czechia-AJ,BedouinA,1.354,13,23,0.113,31,35,Asia,Israel
Komi,Nogai,3.403,18,25,0.154,44.82,43.22,Europe,Russia
Italian-Northwest,Chuvash,2.476,11,18,0.201,55.33,48.74,Europe,Russia
Balkar,Ossetian,15.45,13,18,0.582,43.07,44.23,Europe,Russia
Mozabite,Tajik,0.599,21,32,0.052,38.41,69.6,Asia,Tajikistan
Ukranian-Central,Hungary-AJ,5.015,12,26,0.279,47.5,19.08,Europe,Hungary
Iranian-North,Tatar-Volga,1.259,12,26,0.109,54.19,52.71,Europe,Russia
Kazakh-East,Tuscan,1.101,13,15,0.124,43.36,11.12,Europe,Italy
Slovenian,Slovakian,9.836,15,15,0.344,48.67,19.7,Europe,Slovakia
Belarusian,Basque-France,3.276,14,14,0.231,43,0,Europe,France
Kazakh-West,Yemenite-Desert,0.353,13,27,0.054,16.48,50.03,Asia,Yemen
Hungary-AJ,Poland-AJ,87.322,26,57,0.921,52.25,21,Europe,Poland
Abkhasian,Iranian-Central,1.178,12,22,0.124,31.43,51.07,Asia,Iran
Norwegian,Tuscan,3.63,12,15,0.252,43.36,11.12,Europe,Italy
Sicilian-West,Brahui,0.981,14,21,0.104,30.5,66.5,Asia,Pakistan
Bashkir,Spanish-Catalonia,2.195,56,57,0.046,41.68,1.66,Europe,Spain
Slovakian,Russian-Central,11.251,15,58,0.195,57.19,38.52,Europe,Russia
Somali,Basque-France,0.2,13,14,0.06,43,0,Europe,France
Pole,Uzbek-East,2.647,19,21,0.132,41.18,69.22,Asia,Uzbekistan
Jew-Uzbek,Basque-France,1.7,12,14,0.172,43,0,Europe,France
Sindhi,Poland-AJ,1.143,14,57,0.069,52.25,21,Europe,Poland
Karelian,Armenian,1.125,17,18,0.098,40.2,44.39,Asia,Armenia
Estonian,Pashtun,1.949,16,17,0.141,33.49,70.5,Asia,Pakistan
Veps,Italian-North,4.265,12,12,0.255,46,10,Europe,Italy
Basque-France,Georgian,1.311,14,26,0.098,41.96,42.06,Asia,Turkey
Swede,Brahui,1.821,20,21,0.115,30.5,66.5,Asia,Pakistan
Pashtun,Jew-Bulgarian,1.077,17,26,0.079,42.68,23.32,Europe,Bulgaria
Belarus-AJ,Ossetian,1.876,14,18,0.157,43.07,44.23,Europe,Russia
Ossetian,Russia-AJ,1.571,18,39,0.084,55.75,37.62,Europe,Russia
Tatar-Siberia,Nogai,4.185,21,25,0.163,44.82,43.22,Europe,Russia
Circassian,Russian-Arctic,3.196,12,17,0.214,63.43,45.1,Europe,Russia
Jew-Italian,Belarus-AJ,40.486,11,14,2.524,53.9,27.57,Europe,Belarus
Greek-North,BedouinA,1.314,13,23,0.113,31,35,Asia,Israel
Yemenite-Highlands,Spanish-Balearic,0.906,29,29,0.056,39.33,2.37,Europe,Spain
Kazakh-East,Slovenian,1.443,13,15,0.152,46.15,15,Europe,Slovenia
Iranian-North,Yemenite-Desert,0.971,12,27,0.096,16.48,50.03,Asia,Yemen
Italian-Northwest,Ossetian,1.662,11,18,0.161,43.07,44.23,Europe,Russia
Balkar,Turk-Northwest,2.009,13,18,0.162,40.4,28.56,Asia,Turkey
Slovenian,Corsican,3.433,15,16,0.199,42.04,9.01,Europe,France
Ukranian-Central,Georgian,1.804,12,26,0.126,41.96,42.06,Asia,Turkey
Czechia-AJ,Nogai,1.768,13,25,0.127,44.82,43.22,Europe,Russia
Mozabite,Palestinian,1.334,21,33,0.075,32.13,35.04,Asia,Israel
Kazakh-West,Lithuania-AJ,1.058,13,27,0.095,54.68,25.32,Europe,Lithuania
Komi,Kyrgyz-North,2.729,18,25,0.139,43.12,81.15,Asia,Kyrgyzstan
Belarusian,Croat,10.674,14,14,0.402,43.63,16.84,Europe,Croatia
Sicilian-West,Uzbek-East,0.977,14,21,0.099,41.18,69.22,Asia,Uzbekistan
Somali,Croat,0.189,13,14,0.05,43.63,16.84,Europe,Croatia
Norwegian,Slovenian,5.73,12,15,0.267,46.15,15,Europe,Slovenia
Abkhasian,Romania-AJ,1.793,12,23,0.137,44.43,26.1,Europe,Romania
Hungary-AJ,Russian-Central,3.586,26,58,0.095,57.19,38.52,Europe,Russia
Pole,Tatar-Siberia,4.033,19,21,0.184,57.75,67.71,Asia,Russia
Sindhi,Russian-Central,1.356,14,58,0.069,57.19,38.52,Europe,Russia
Jew-Uzbek,Croat,1.744,12,14,0.171,43.63,16.84,Europe,Croatia
Bashkir,Poland-AJ,1.965,56,57,0.044,52.25,21,Europe,Poland
Pashtun,Hungary-AJ,1.188,17,26,0.089,47.5,19.08,Europe,Hungary
Basque-France,Germany-AJ,2.911,14,26,0.145,52.52,13.4,Europe,Germany
Belarus-AJ,Turk-Northwest,2.131,14,18,0.164,40.4,28.56,Asia,Turkey
Swede,Uzbek-East,2.052,20,21,0.112,41.18,69.22,Asia,Uzbekistan
Veps,Circassian,3.107,12,12,0.248,44.28,41.55,Europe,Russia
Estonian,Chuvash,9.969,16,18,0.333,55.33,48.74,Europe,Russia
Karelian,Pole,13.793,17,19,0.439,51.98,19.4,Europe,Poland
Ossetian,Bashkir,1.766,18,56,0.07,54.32,56.12,Europe,Russia
Jew-Italian,Sindhi,0.765,11,14,0.118,25.49,69,Asia,Pakistan
Circassian,Karelian,2.834,12,17,0.191,60.85,32.14,Europe,Russia
Nogai,Kyrgyz-North,5.051,25,25,0.179,43.12,81.15,Asia,Kyrgyzstan
Greek-North,Nogai,2.12,13,25,0.128,44.82,43.22,Europe,Russia
Tatar-Siberia,Kyrgyz-North,5.515,21,25,0.193,43.12,81.15,Asia,Kyrgyzstan
Kazakh-East,Slovakian,1.865,13,15,0.165,48.67,19.7,Europe,Slovakia
Yemenite-Highlands,Druze,1.439,29,30,0.068,32.05,35.02,Asia,Israel
Balkar,Egyptian,0.746,13,18,0.094,30.69,31.28,Africa,Egypt
Italian-Northwest,Turk-Northwest,2.101,11,18,0.171,40.4,28.56,Asia,Turkey
Iranian-North,Lithuania-AJ,1.257,12,27,0.107,54.68,25.32,Europe,Lithuania
Slovenian,Greek-South,3.615,15,16,0.22,37.9,23.7,Europe,Greece
Kazakh-West,Roman-Iberia,1.023,13,28,0.088,40.67,-3.14,Europe,Spain
Komi,Yemenite-Northwest,0.934,18,26,0.078,15.74,44.45,Asia,Yemen
Ukranian-Central,Germany-AJ,4.175,12,26,0.217,52.52,13.4,Europe,Germany
Mozabite,Mordvin,1.093,21,34,0.069,54.49,44.21,Europe,Russia
Belarusian,Sicilian-West,2.626,14,14,0.186,38.02,12.52,Europe,Italy
Czechia-AJ,Kyrgyz-North,0.709,13,25,0.077,43.12,81.15,Asia,Kyrgyzstan
Somali,Sicilian-West,0.153,13,14,0.05,38.02,12.52,Europe,Italy
Sicilian-West,Tatar-Siberia,1.106,14,21,0.109,57.75,67.71,Asia,Russia
Italian-North,Circassian,1.792,12,12,0.19,44.28,41.55,Europe,Russia
Norwegian,Slovakian,6.288,12,15,0.33,48.67,19.7,Europe,Slovakia
Abkhasian,BedouinA,1.257,12,23,0.109,31,35,Asia,Israel
Jew-Uzbek,Sicilian-West,1.553,12,14,0.165,38.02,12.52,Europe,Italy
Pole,Spanish-Central,3.836,19,21,0.17,40.36,-3.74,Europe,Spain
Pashtun,Georgian,1.085,17,26,0.09,41.96,42.06,Asia,Turkey
Basque-France,Tatar-Volga,2.844,14,26,0.151,54.19,52.71,Europe,Russia
Belarus-AJ,Egyptian,1.277,14,18,0.112,30.69,31.28,Africa,Egypt
Estonian,Ossetian,2.577,16,18,0.154,43.07,44.23,Europe,Russia
Karelian,Sardinian,1.982,17,20,0.127,40,9,Europe,Italy
Veps,Iranian-North,1.647,12,12,0.179,36.29,52.43,Asia,Iran
Corsican,Greek-South,2.055,16,16,0.153,37.9,23.7,Europe,Greece
Swede,Tatar-Siberia,2.958,20,21,0.147,57.75,67.71,Asia,Russia
Jew-Italian,Italian-South,2.239,11,15,0.193,41.89,14.49,Europe,Italy
Ossetian,Spanish-Catalonia,1.844,18,57,0.073,41.68,1.66,Europe,Spain
Circassian,Gujarati,0.761,12,17,0.097,23.2,72.7,Asia,India
Tatar-Siberia,Yemenite-Northwest,0.419,21,26,0.05,15.74,44.45,Asia,Yemen
Kazakh-East,Corsican,0.827,13,16,0.104,42.04,9.01,Europe,France
Nogai,Yemenite-Northwest,0.634,25,26,0.055,15.74,44.45,Asia,Yemen
Greek-North,Kyrgyz-North,0.714,13,25,0.077,43.12,81.15,Asia,Kyrgyzstan
Yemenite-Highlands,Adygei,0.881,29,31,0.054,44.39,39.31,Europe,Russia
Kazakh-West,Yemenite-Highlands,0.328,13,29,0.049,14.34,44.68,Asia,Yemen
Balkar,Komi,2.87,13,18,0.183,61.87,51.43,Europe,Russia
Italian-Northwest,Egyptian,1.192,11,18,0.138,30.69,31.28,Africa,Egypt
Iranian-North,Roman-Iberia,1.302,12,28,0.114,40.67,-3.14,Europe,Spain
Somali,Udmurt,0.178,13,14,0.051,56.43,52.66,Europe,Russia
Czechia-AJ,Yemenite-Northwest,1.676,13,26,0.123,15.74,44.45,Asia,Yemen
Komi,Jew-Bulgarian,2.191,18,26,0.132,42.68,23.32,Europe,Bulgaria
Slovenian,Estonian,10.19,15,16,0.357,58.45,25.31,Europe,Estonia
Bashkir,Russian-Central,6.437,56,58,0.082,57.19,38.52,Europe,Russia
Belarusian,Udmurt,6.079,14,14,0.313,56.43,52.66,Europe,Russia
Sicilian-West,Spanish-Central,2.168,14,21,0.14,40.36,-3.74,Europe,Spain
Mozabite,Ukraine-AJ,1.659,21,38,0.082,50.43,30.52,Europe,Ukraine
Ukranian-Central,Tatar-Volga,8.494,12,26,0.285,54.19,52.71,Europe,Russia
Norwegian,Corsican,3.613,12,16,0.229,42.04,9.01,Europe,France
Italian-North,Iranian-North,1.302,12,12,0.184,36.29,52.43,Asia,Iran
Italian-South,Tuscan,2.888,15,15,0.19,43.36,11.12,Europe,Italy
Jew-Uzbek,Udmurt,1.312,12,14,0.15,56.43,52.66,Europe,Russia
Abkhasian,Nogai,4.188,12,25,0.317,44.82,43.22,Europe,Russia
Pashtun,Germany-AJ,1.06,17,26,0.089,52.52,13.4,Europe,Germany
Basque-France,Yemenite-Desert,0.916,14,27,0.09,16.48,50.03,Asia,Yemen
Belarus-AJ,Komi,3.323,14,18,0.204,61.87,51.43,Europe,Russia
Pole,Hungarian,10.804,19,21,0.284,47.49,19.07,Europe,Hungary
Karelian,Baloch,1.39,17,20,0.115,30.5,66.5,Asia,Pakistan
Estonian,Turk-Northwest,3.483,16,18,0.206,40.4,28.56,Asia,Turkey
Jew-Italian,Tuscan,2.184,11,15,0.185,43.36,11.12,Europe,Italy
Veps,BedouinB,1.067,12,12,0.157,31,35,Asia,Israel
Corsican,Estonian,3.879,16,16,0.201,58.45,25.31,Europe,Estonia
Circassian,Pashtun,1.063,12,17,0.119,33.49,70.5,Asia,Pakistan
Ossetian,Poland-AJ,1.867,18,57,0.077,52.25,21,Europe,Poland
Swede,Spanish-Central,4.201,20,21,0.17,40.36,-3.74,Europe,Spain
Tatar-Siberia,Jew-Bulgarian,0.89,21,26,0.065,42.68,23.32,Europe,Bulgaria
Kazakh-East,Greek-South,0.96,13,16,0.115,37.9,23.7,Europe,Greece
Greek-North,Yemenite-Northwest,1.169,13,26,0.104,15.74,44.45,Asia,Yemen
Nogai,Jew-Bulgarian,1.271,25,26,0.077,42.68,23.32,Europe,Bulgaria
Yemenite-Highlands,Tajik,0.658,29,32,0.049,38.41,69.6,Asia,Tajikistan
Kazakh-West,Spanish-Balearic,1.016,13,29,0.088,39.33,2.37,Europe,Spain
Balkar,Azeri,1.622,13,18,0.144,40.97,47.86,Europe,Russia
Somali,Belarus-AJ,0.366,13,14,0.072,53.9,27.57,Europe,Belarus
Iranian-North,Yemenite-Highlands,1.006,12,29,0.105,14.34,44.68,Asia,Yemen
Italian-Northwest,Komi,3.419,11,18,0.226,61.87,51.43,Europe,Russia
Slovenian,Russian-Arctic,8.409,15,17,0.311,63.43,45.1,Europe,Russia
Belarusian,Belarus-AJ,5.025,14,14,0.303,53.9,27.57,Europe,Belarus
Komi,Hungary-AJ,3.174,18,26,0.149,47.5,19.08,Europe,Hungary
Sicilian-West,Hungarian,2.701,14,21,0.164,47.49,19.07,Europe,Hungary
Ukranian-Central,Yemenite-Desert,0.887,12,27,0.094,16.48,50.03,Asia,Yemen
Norwegian,Greek-South,2.567,12,16,0.189,37.9,23.7,Europe,Greece
Mozabite,Russia-AJ,1.489,21,39,0.074,55.75,37.62,Europe,Russia
Czechia-AJ,Jew-Bulgarian,33.433,13,26,0.97,42.68,23.32,Europe,Bulgaria
Italian-North,BedouinB,1.534,12,12,0.183,31,35,Asia,Israel
Italian-South,Slovenian,3.18,15,15,0.212,46.15,15,Europe,Slovenia
Jew-Uzbek,Belarus-AJ,2.249,12,14,0.234,53.9,27.57,Europe,Belarus
Pashtun,Tatar-Volga,1.443,17,26,0.096,54.19,52.71,Europe,Russia
Basque-France,Lithuania-AJ,2.893,14,27,0.138,54.68,25.32,Europe,Lithuania
Abkhasian,Kyrgyz-North,0.777,12,25,0.087,43.12,81.15,Asia,Kyrgyzstan
Belarus-AJ,Azeri,1.457,14,18,0.129,40.97,47.86,Europe,Russia
Pole,Mozabite,1.24,19,21,0.097,32,3,Africa,Algeria
Jew-Italian,Slovenian,3.014,11,15,0.231,46.15,15,Europe,Slovenia
Estonian,Egyptian,1.2,16,18,0.113,30.69,31.28,Africa,Egypt
Corsican,Russian-Arctic,3.371,16,17,0.185,63.43,45.1,Europe,Russia
Veps,Jew-Uzbek,1.797,12,12,0.184,41.31,69.29,Asia,Uzbekistan
Karelian,Swede,13.001,17,20,0.378,59.31,18,Europe,Sweden
Kazakh-East,Estonian,2.449,13,16,0.181,58.45,25.31,Europe,Estonia
Circassian,Chuvash,2.385,12,18,0.181,55.33,48.74,Europe,Russia
Tatar-Siberia,Hungary-AJ,1.31,21,26,0.082,47.5,19.08,Europe,Hungary
Ossetian,Russian-Central,2.247,18,58,0.075,57.19,38.52,Europe,Russia
Greek-North,Jew-Bulgarian,2.588,13,26,0.153,42.68,23.32,Europe,Bulgaria
Kazakh-West,Druze,0.48,13,30,0.06,32.05,35.02,Asia,Israel
Somali,Sindhi,0.09,13,14,0.037,25.49,69,Asia,Pakistan
Swede,Hungarian,7.155,20,21,0.232,47.49,19.07,Europe,Hungary
Balkar,Armenian,1.736,13,18,0.135,40.2,44.39,Asia,Armenia
Nogai,Hungary-AJ,1.615,25,26,0.085,47.5,19.08,Europe,Hungary
Yemenite-Highlands,Palestinian,1.734,29,33,0.072,32.13,35.04,Asia,Israel
Belarusian,Sindhi,1.466,14,14,0.138,25.49,69,Asia,Pakistan
Italian-Northwest,Azeri,1.298,11,18,0.139,40.97,47.86,Europe,Russia
Iranian-North,Spanish-Balearic,1.364,12,29,0.113,39.33,2.37,Europe,Spain
Komi,Georgian,1.173,18,26,0.085,41.96,42.06,Asia,Turkey
Slovenian,Karelian,8.271,15,17,0.323,60.85,32.14,Europe,Russia
Sicilian-West,Mozabite,1.659,14,21,0.136,32,3,Africa,Algeria
Ukranian-Central,Lithuania-AJ,5.337,12,27,0.266,54.68,25.32,Europe,Lithuania
Norwegian,Estonian,8.46,12,16,0.363,58.45,25.31,Europe,Estonia
Mozabite,Bashkir,0.709,21,56,0.041,54.32,56.12,Europe,Russia
Italian-South,Slovakian,3.665,15,15,0.203,48.67,19.7,Europe,Slovakia
Italian-North,Jew-Uzbek,1.666,12,12,0.182,41.31,69.29,Asia,Uzbekistan
Pashtun,Yemenite-Desert,0.693,17,27,0.075,16.48,50.03,Asia,Yemen
Jew-Uzbek,Sindhi,1.045,12,14,0.136,25.49,69,Asia,Pakistan
Basque-France,Roman-Iberia,5.895,14,28,0.267,40.67,-3.14,Europe,Spain
Abkhasian,Yemenite-Northwest,0.981,12,26,0.1,15.74,44.45,Asia,Yemen
Belarus-AJ,Armenian,2.241,14,18,0.149,40.2,44.39,Asia,Armenia
Jew-Italian,Slovakian,3.397,11,15,0.257,48.67,19.7,Europe,Slovakia
Corsican,Karelian,3.05,16,17,0.17,60.85,32.14,Europe,Russia
Pole,Iranian-Central,1.556,19,22,0.103,31.43,51.07,Asia,Iran
Veps,Greek-North,4.931,12,13,0.309,40.64,22.94,Europe,Greece
Karelian,Brahui,1.345,17,21,0.105,30.5,66.5,Asia,Pakistan
Estonian,Komi,12.609,16,18,0.36,61.87,51.43,Europe,Russia
Kazakh-East,Russian-Arctic,2.712,13,17,0.214,63.43,45.1,Europe,Russia
Tatar-Siberia,Georgian,0.924,21,26,0.073,41.96,42.06,Asia,Turkey
Greek-North,Hungary-AJ,2.824,13,26,0.161,47.5,19.08,Europe,Hungary
Somali,Italian-South,0.34,13,15,0.069,41.89,14.49,Europe,Italy
Kazakh-West,Adygei,1.398,13,31,0.107,44.39,39.31,Europe,Russia
Czechia-AJ,Hungary-AJ,91.586,13,26,2.015,47.5,19.08,Europe,Hungary
Circassian,Ossetian,9.46,12,18,0.442,43.07,44.23,Europe,Russia
Swede,Mozabite,1.461,20,21,0.1,32,3,Africa,Algeria
Yemenite-Highlands,Mordvin,0.787,29,34,0.047,54.49,44.21,Europe,Russia
Balkar,Pole,2.935,13,19,0.174,51.98,19.4,Europe,Poland
Belarusian,Italian-South,3.259,14,15,0.209,41.89,14.49,Europe,Italy
Nogai,Georgian,1.948,25,26,0.11,41.96,42.06,Asia,Turkey
Spanish-Catalonia,Poland-AJ,2.93,57,57,0.054,52.25,21,Europe,Poland
Slovenian,Gujarati,1.031,15,17,0.109,23.2,72.7,Asia,India
Italian-Northwest,Armenian,1.712,11,18,0.151,40.2,44.39,Asia,Armenia
Iranian-North,Druze,1.074,12,30,0.092,32.05,35.02,Asia,Israel
Komi,Germany-AJ,2.742,18,26,0.119,52.52,13.4,Europe,Germany
Sicilian-West,Iranian-Central,1.056,14,22,0.106,31.43,51.07,Asia,Iran
Ukranian-Central,Roman-Iberia,3.314,12,28,0.168,40.67,-3.14,Europe,Spain
Norwegian,Russian-Arctic,7.963,12,17,0.348,63.43,45.1,Europe,Russia
Italian-South,Corsican,2.732,15,16,0.183,42.04,9.01,Europe,France
Pashtun,Lithuania-AJ,1.129,17,27,0.087,54.68,25.32,Europe,Lithuania
Italian-North,Greek-North,3.63,12,13,0.252,40.64,22.94,Europe,Greece
Mozabite,Spanish-Catalonia,1.834,21,57,0.068,41.68,1.66,Europe,Spain
Basque-France,Yemenite-Highlands,0.741,14,29,0.075,14.34,44.68,Asia,Yemen
Jew-Uzbek,Italian-South,1.637,12,15,0.155,41.89,14.49,Europe,Italy
Belarus-AJ,Pole,4.37,14,19,0.225,51.98,19.4,Europe,Poland
Abkhasian,Jew-Bulgarian,1.474,12,26,0.115,42.68,23.32,Europe,Bulgaria
Jew-Italian,Corsican,2.49,11,16,0.205,42.04,9.01,Europe,France
Corsican,Gujarati,0.786,16,17,0.086,23.2,72.7,Asia,India
Karelian,Uzbek-East,2.65,17,21,0.161,41.18,69.22,Asia,Uzbekistan
Kazakh-East,Karelian,2.195,13,17,0.174,60.85,32.14,Europe,Russia
Estonian,Azeri,2.11,16,18,0.143,40.97,47.86,Europe,Russia
Pole,Romania-AJ,4.837,19,23,0.205,44.43,26.1,Europe,Romania
Tatar-Siberia,Germany-AJ,1.21,21,26,0.079,52.52,13.4,Europe,Germany
Greek-North,Georgian,1.519,13,26,0.118,41.96,42.06,Asia,Turkey
Somali,Tuscan,0.338,13,15,0.065,43.36,11.12,Europe,Italy
Veps,German,11.259,12,13,0.668,51.48,10.37,Europe,Germany
Kazakh-West,Tajik,1.497,13,32,0.102,38.41,69.6,Asia,Tajikistan
Czechia-AJ,Georgian,1.396,13,26,0.11,41.96,42.06,Asia,Turkey
Circassian,Turk-Northwest,1.984,12,18,0.164,40.4,28.56,Asia,Turkey
Balkar,Sardinian,1.214,13,20,0.117,40,9,Europe,Italy
Swede,Iranian-Central,1.619,20,22,0.099,31.43,51.07,Asia,Iran
Turk-Northwest,Egyptian,1.089,18,18,0.101,30.69,31.28,Africa,Egypt
Belarusian,Tuscan,3.375,14,15,0.209,43.36,11.12,Europe,Italy
Yemenite-Highlands,Ukraine-AJ,1.394,29,38,0.062,50.43,30.52,Europe,Ukraine
Slovenian,Pashtun,1.571,15,17,0.132,33.49,70.5,Asia,Pakistan
Iranian-North,Adygei,1.324,12,31,0.108,44.39,39.31,Europe,Russia
Nogai,Germany-AJ,1.589,25,26,0.082,52.52,13.4,Europe,Germany
Italian-Northwest,Pole,3.917,11,19,0.24,51.98,19.4,Europe,Poland
Sicilian-West,Romania-AJ,2.036,14,23,0.134,44.43,26.1,Europe,Romania
Komi,Tatar-Volga,10.154,18,26,0.278,54.19,52.71,Europe,Russia
Ukranian-Central,Yemenite-Highlands,0.741,12,29,0.085,14.34,44.68,Asia,Yemen
Italian-South,Greek-South,1.903,15,16,0.158,37.9,23.7,Europe,Greece
Pashtun,Roman-Iberia,1.405,17,28,0.092,40.67,-3.14,Europe,Spain
Norwegian,Karelian,9.961,12,17,0.396,60.85,32.14,Europe,Russia
Italian-North,German,3.798,12,13,0.297,51.48,10.37,Europe,Germany
